Stop Name,Latitude,Longitude
Beach 36 St,40.5954,-73.7682
Beach 44 St,40.5929,-73.776
Beach 60 St,40.5924,-73.7885
Beach 67 St,40.5909,-73.7969
Broad Channel,40.6084,-73.8159
Howard Beach-JFK Airport,40.6605,-73.8303
Aqueduct-N Conduit Av,40.6682,-73.8341
Aqueduct Racetrack,40.6721,-73.8359
Ozone Park-Lefferts Blvd,40.686,-73.8258
111 St,40.6843,-73.8322
104 St,40.6817,-73.8377
Rockaway Blvd,40.6804,-73.8439
88 St,40.6798,-73.8515
80 St,40.6794,-73.859
Grant Av,40.677,-73.865
Euclid Av,40.6754,-73.8721
Broadway Junction,40.6795,-73.9045
Van Siclen Av,40.678,-73.8917
Norwood Av,40.6814,-73.88
Crescent St,40.6832,-73.8738
75 St-Elderts Ln,40.6913,-73.8671
Woodhaven Blvd,40.6939,-73.8516
104 St,40.6952,-73.8443
121 St,40.7005,-73.8283
Sutphin Blvd-Archer Av-JFK Airport,40.7005,-73.808
Jamaica-Van Wyck,40.7026,-73.8169
Briarwood,40.7092,-73.8206
Sutphin Blvd,40.7055,-73.8107
Parsons Blvd,40.7076,-73.8033
169 St,40.7105,-73.7936
Jamaica-179 St,40.7126,-73.7838
